,eid,timestamp,activity,vacancies,managers,applicants,applications,recruiters,offers
1446,1447,2019-06-26 12:22:15+00:00,submit application,,,['Johan Davis'],['Application[770331]'],,
1447,1448,2019-06-26 12:23:46+00:00,assign vacancy,['Vacancy[550042] - Programmer'],,,['Application[770278]'],,
1448,1449,2019-06-26 12:50:18+00:00,assign recruiter,,,,['Application[770200]'],"['Jana Kershaw', 'Ed Kershaw', 'Dionne Hense']",
1449,1450,2019-06-26 12:58:39+00:00,check references,,,,['Application[770094]'],"['Simon Geisler', 'Ed Keane']",
1450,1451,2019-06-26 13:04:03+00:00,assign vacancy,['Vacancy[550050] - Manager'],,,['Application[770150]'],,
1451,1452,2019-06-26 13:06:19+00:00,open vacancy,['Vacancy[550055] - Consultant'],['Miguel Milano'],,,,
1452,1453,2019-06-26 13:19:36+00:00,first screening,,,,['Application[770321]'],['Jana Kershaw'],
1453,1454,2019-06-26 13:28:50+00:00,submit application,,,['Mary Lopez'],['Application[770332]'],,
1454,1455,2019-06-26 13:33:56+00:00,conduct interview,['Vacancy[550005] - Programmer'],['Martin Klenk'],['Chun Smith'],['Application[770149]'],['Ed Meister'],
1455,1456,2019-06-26 13:48:35+00:00,first screening,,,,['Application[770295]'],['Dionne Geisler'],
1456,1457,2019-06-26 13:54:05+00:00,check references,,,,['Application[770234]'],"['Jana Geisler', 'Ed Hense']",
1457,1458,2019-06-26 13:55:05+00:00,first screening,,,,['Application[770316]'],['Ed Kershaw'],
1458,1459,2019-06-26 14:29:37+00:00,consult manager,,['Martin Klenk'],,['Application[770104]'],['Simon Hense'],
1459,1460,2019-06-26 14:37:38+00:00,assign recruiter,,,,['Application[770327]'],"['Ed Meister', 'Simon Meister', 'Dionne Keane']",
1460,1461,2019-06-26 14:42:00+00:00,submit application,,,['Pete Zimmermann'],['Application[770333]'],,
1461,1462,2019-06-26 14:46:29+00:00,assign recruiter,,,,['Application[770165]'],"['Simon Hense', 'Dionne Meister', 'Jana Geisler']",
1462,1463,2019-06-26 14:50:36+00:00,assign recruiter,,,,['Application[770301]'],"['Jana Keane', 'Jana Meister', 'Jana Geisler']",
1463,1464,2019-06-26 15:01:16+00:00,first screening,,,,['Application[770287]'],['Ed Geisler'],
1464,1465,2019-06-26 15:12:39+00:00,send rejection,,,['Pete Weber'],['Application[770028]'],['Ed Kershaw'],
1465,1466,2019-06-26 15:30:24+00:00,assign recruiter,,,,['Application[770323]'],"['Dionne Hense', 'Ed Keane', 'Dionne Geisler']",
1466,1467,2019-06-26 15:40:20+00:00,assign recruiter,,,,['Application[770290]'],"['Ed Meister', 'Jana Keane', 'Simon Geisler']",
1467,1468,2019-06-26 16:05:26+00:00,assign vacancy,['Vacancy[550022] - Programmer'],,,['Application[770327]'],,
1468,1469,2019-06-26 16:08:19+00:00,submit application,['Vacancy[550012] - Programmer'],,['Dave Park'],['Application[770334]'],,
1469,1470,2019-06-26 16:19:27+00:00,send rejection,,,['Chun Smith'],['Application[770149]'],['Ed Meister'],
1470,1471,2019-06-26 16:42:57+00:00,check references,,,,['Application[770271]'],"['Dionne Hense', 'Simon Hense']",
1471,1472,2019-06-26 16:52:39+00:00,submit application,,,['Angela Brown'],['Application[770335]'],,
1472,1473,2019-06-26 19:06:36+00:00,submit application,,,['Johan Taylor'],['Application[770336]'],,
1473,1474,2019-06-26 19:39:04+00:00,first screening,,,,['Application[770296]'],['Simon Meister'],
1474,1475,2019-06-26 19:50:31+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Dave Neumann'],['Application[770027]'],['Ed Keane'],
1475,1476,2019-06-26 20:16:25+00:00,close vacancy for new applications,['Vacancy[550012] - Programmer'],,,,,
1476,1477,2019-06-26 20:16:25+00:00,consult manager,,['Miguel Milano'],,['Application[770225]'],['Simon Meister'],
1477,1478,2019-06-26 20:16:25+00:00,consult manager,,['Miguel Milano'],,['Application[770198]'],['Jana Meister'],
1478,1479,2019-06-26 20:16:25+00:00,consult manager,,['Miguel Milano'],,['Application[770161]'],['Simon Geisler'],
1479,1480,2019-06-26 20:16:25+00:00,consult manager,,['Miguel Milano'],,['Application[770271]'],['Dionne Kershaw'],
1480,1481,2019-06-26 20:16:25+00:00,consult manager,,['Miguel Milano'],,['Application[770170]'],['Ed Keane'],
1481,1482,2019-06-26 20:41:52+00:00,submit application,['Vacancy[550033] - Programmer'],,['Stephan Wagner'],['Application[770337]'],,
1482,1483,2019-06-27 03:34:29+00:00,submit application,,,['Chun Brown'],['Application[770338]'],,
1483,1484,2019-06-27 04:38:59+00:00,open vacancy,['Vacancy[550056] - Programmer'],['Martin Klenk'],,,,
1484,1485,2019-06-27 06:05:45+00:00,first screening,,,,['Application[770222]'],['Ed Meister'],
1485,1486,2019-06-27 06:08:21+00:00,first screening,,,,['Application[770309]'],['Simon Keane'],
1486,1487,2019-06-27 06:27:24+00:00,assign recruiter,,,,['Application[770307]'],"['Dionne Meister', 'Jana Meister', 'Simon Geisler']",
1487,1488,2019-06-27 06:37:00+00:00,conduct interview,['Vacancy[550009] - Programmer'],['Martin Klenk'],['Sue Jansen'],['Application[770134]'],['Ed Geisler'],
1488,1489,2019-06-27 06:47:24+00:00,assign recruiter,,,,['Application[770313]'],"['Jana Keane', 'Dionne Keane', 'Jana Hense']",
1489,1490,2019-06-27 06:47:39+00:00,first screening,,,,['Application[770327]'],['Ed Meister'],
1490,1491,2019-06-27 06:48:58+00:00,assign recruiter,,,,['Application[770230]'],"['Jana Geisler', 'Jana Kershaw', 'Ed Keane']",
1491,1492,2019-06-27 06:52:44+00:00,assign recruiter,,,,['Application[770283]'],"['Dionne Geisler', 'Jana Kershaw', 'Jana Geisler']",
1492,1493,2019-06-27 07:22:48+00:00,send rejection,,,['Johan Weber'],['Application[770111]'],['Jana Kershaw'],
1493,1494,2019-06-27 07:28:05+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Johan Wang'],['Application[770187]'],"['Dionne Keane', 'Ed Geisler']",
1494,1495,2019-06-27 07:34:02+00:00,submit application,,,['Vanessa Zimmermann'],['Application[770339]'],,
1495,1496,2019-06-27 07:36:27+00:00,first screening,,,,['Application[770243]'],['Simon Geisler'],
1496,1497,2019-06-27 07:42:45+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Detlef Jansen'],['Application[770193]'],"['Simon Meister', 'Ed Meister']",
1497,1498,2019-06-27 07:46:38+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Lisa Zimmermann'],['Application[770157]'],"['Simon Meister', 'Simon Geisler']",
1498,1499,2019-06-27 07:49:51+00:00,send rejection,,,['Ray Johnson'],['Application[770128]'],['Simon Keane'],
1499,1500,2019-06-27 07:52:27+00:00,check references,,,,['Application[770222]'],"['Jana Kershaw', 'Ed Keane']",
1500,1501,2019-06-27 07:58:13+00:00,first screening,,,,['Application[770306]'],['Ed Geisler'],
1501,1502,2019-06-27 08:02:18+00:00,check references,,,,['Application[770248]'],"['Simon Kershaw', 'Ed Hense']",
1502,1503,2019-06-27 08:05:52+00:00,assign vacancy,['Vacancy[550043] - Consultant'],,,['Application[770230]'],,
1503,1504,2019-06-27 08:16:40+00:00,assign recruiter,,,,['Application[770333]'],"['Dionne Keane', 'Ed Meister', 'Jana Geisler']",
1504,1505,2019-06-27 08:23:25+00:00,first screening,,,,['Application[770135]'],['Jana Kershaw'],
1505,1506,2019-06-27 08:29:45+00:00,assign recruiter,,,,['Application[770282]'],"['Simon Geisler', 'Ed Meister', 'Simon Keane']",
1506,1507,2019-06-27 08:31:41+00:00,check references,,,,['Application[770253]'],"['Dionne Geisler', 'Simon Keane']",
1507,1508,2019-06-27 08:31:43+00:00,first screening,,,,['Application[770190]'],['Jana Kershaw'],
1508,1509,2019-06-27 08:35:44+00:00,send rejection,,,['Dave Wagner'],['Application[770034]'],['Ed Keane'],
1509,1510,2019-06-27 08:45:19+00:00,check references,,,,['Application[770218]'],"['Jana Meister', 'Simon Keane']",
1510,1511,2019-06-27 08:46:07+00:00,send rejection,,,['Sue Jansen'],['Application[770134]'],['Ed Geisler'],
1511,1512,2019-06-27 08:47:26+00:00,assign vacancy,['Vacancy[550036] - Manager'],,,['Application[770323]'],,
1512,1513,2019-06-27 08:47:37+00:00,check references,,,,['Application[770055]'],"['Simon Hense', 'Jana Geisler']",
1513,1514,2019-06-27 08:52:23+00:00,submit application,['Vacancy[550019] - Manager'],,['Mary Wagner'],['Application[770340]'],,
1514,1515,2019-06-27 09:00:04+00:00,invite for interview,['Vacancy[550005] - Programmer'],,['Mary Weber'],['Application[770104]'],"['Jana Keane', 'Dionne Geisler']",
1515,1516,2019-06-27 09:03:41+00:00,invite for interview,['Vacancy[550012] - Programmer'],,['Sonia Jones'],['Application[770225]'],"['Dionne Keane', 'Ed Meister']",
1516,1517,2019-06-27 09:04:59+00:00,assign vacancy,['Vacancy[550025] - Programmer'],,,['Application[770311]'],,
1517,1518,2019-06-27 09:05:33+00:00,invite for interview,['Vacancy[550012] - Programmer'],,['Ray Weber'],['Application[770170]'],"['Ed Hense', 'Ed Kershaw']",
1518,1519,2019-06-27 09:20:42+00:00,first screening,,,,['Application[770129]'],['Dionne Kershaw'],
1519,1520,2019-06-27 09:21:54+00:00,send rejection,,,['Sue Brown'],['Application[770293]'],['Dionne Hense'],
1520,1521,2019-06-27 09:30:49+00:00,check references,,,,['Application[770304]'],"['Ed Hense', 'Ed Kershaw']",
1521,1522,2019-06-27 09:36:22+00:00,send rejection,,,['Detlef Park'],['Application[770042]'],['Ed Hense'],
1522,1523,2019-06-27 09:44:15+00:00,send rejection,,,['Jorge Schmidt'],['Application[770077]'],['Simon Hense'],
1523,1524,2019-06-27 09:55:27+00:00,assign vacancy,['Vacancy[550001] - Manager'],,,['Application[770072]'],,
1524,1525,2019-06-27 09:58:51+00:00,check references,,,,['Application[770108]'],"['Jana Keane', 'Jana Meister']",
1525,1526,2019-06-27 09:59:30+00:00,conduct interview,['Vacancy[550003] - Programmer'],['Bastian Nominacher'],['Toon Jansen'],['Application[770002]'],['Jana Meister'],
1526,1527,2019-06-27 10:08:21+00:00,assign recruiter,,,,['Application[770308]'],"['Jana Kershaw', 'Jana Meister', 'Ed Kershaw']",
1527,1528,2019-06-27 10:09:09+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Sonia Davis'],['Application[770186]'],['Jana Kershaw'],
1528,1529,2019-06-27 10:09:19+00:00,first screening,,,,['Application[770323]'],['Dionne Hense'],
1529,1530,2019-06-27 10:11:47+00:00,send rejection,,,['Dave Wang'],['Application[770022]'],['Jana Keane'],
1530,1531,2019-06-27 10:14:17+00:00,first screening,,,,['Application[770289]'],['Simon Geisler'],
1531,1532,2019-06-27 10:27:44+00:00,send rejection,,,['Lisa Jones'],['Application[770004]'],['Dionne Geisler'],
1532,1533,2019-06-27 10:29:06+00:00,submit application,['Vacancy[550038] - Manager'],,['Toon Pietersen'],['Application[770341]'],,
1533,1534,2019-06-27 10:32:14+00:00,first screening,,,,['Application[770268]'],['Simon Geisler'],
1534,1535,2019-06-27 10:34:57+00:00,consult manager,,['Miguel Milano'],,['Application[770243]'],['Simon Geisler'],
1535,1536,2019-06-27 10:35:50+00:00,send rejection,,,['Sonia Lopez'],['Application[770066]'],['Jana Kershaw'],
1536,1537,2019-06-27 10:45:57+00:00,assign recruiter,,,,['Application[770112]'],"['Simon Geisler', 'Jana Kershaw', 'Dionne Keane']",
1537,1538,2019-06-27 10:54:24+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Angela Park'],['Application[770013]'],['Ed Hense'],
1538,1539,2019-06-27 10:57:04+00:00,first screening,,,,['Application[770110]'],['Dionne Hense'],
1539,1540,2019-06-27 11:10:03+00:00,assign recruiter,,,,['Application[770314]'],"['Dionne Kershaw', 'Jana Meister', 'Jana Geisler']",
1540,1541,2019-06-27 11:42:32+00:00,submit application,['Vacancy[550033] - Programmer'],,['Sonia Park'],['Application[770342]'],,
1541,1542,2019-06-27 12:09:34+00:00,close vacancy for new applications,['Vacancy[550013] - Manager'],,,,,
1542,1543,2019-06-27 12:09:34+00:00,consult manager,,['Alexander Rinke'],,['Application[770291]'],['Jana Hense'],
1543,1544,2019-06-27 12:09:34+00:00,consult manager,,['Alexander Rinke'],,['Application[770181]'],['Jana Hense'],
1544,1545,2019-06-27 12:09:34+00:00,consult manager,,['Alexander Rinke'],,['Application[770192]'],['Simon Keane'],
1545,1546,2019-06-27 12:09:34+00:00,consult manager,,['Alexander Rinke'],,['Application[770232]'],['Ed Meister'],
1546,1547,2019-06-27 12:11:13+00:00,assign vacancy,['Vacancy[550028] - Manager'],,,['Application[770260]'],,
1547,1548,2019-06-27 12:28:15+00:00,first screening,,,,['Application[770314]'],['Dionne Kershaw'],
1548,1549,2019-06-27 12:29:15+00:00,first screening,,,,['Application[770230]'],['Jana Geisler'],
1549,1550,2019-06-27 12:30:30+00:00,assign vacancy,['Vacancy[550013] - Manager'],,,['Application[770282]'],,
1550,1551,2019-06-27 12:30:50+00:00,invite for interview,['Vacancy[550012] - Programmer'],,['Detlef Johnson'],['Application[770271]'],"['Dionne Hense', 'Simon Hense']",
1551,1552,2019-06-27 12:34:28+00:00,first screening,,,,['Application[770260]'],['Simon Geisler'],
1552,1553,2019-06-27 12:35:56+00:00,assign recruiter,,,,['Application[770277]'],"['Simon Keane', 'Dionne Hense', 'Ed Kershaw']",
1553,1554,2019-06-27 12:37:12+00:00,invite for interview,['Vacancy[550009] - Programmer'],,['Sue Wang'],['Application[770182]'],"['Simon Meister', 'Dionne Hense']",
1554,1555,2019-06-27 12:52:16+00:00,send rejection,,,['Lisa Wang'],['Application[770302]'],['Simon Geisler'],
1555,1556,2019-06-27 12:52:56+00:00,first screening,,,,['Application[770283]'],['Dionne Geisler'],
1556,1557,2019-06-27 12:54:48+00:00,assign recruiter,,,,['Application[770341]'],"['Ed Hense', 'Simon Geisler', 'Simon Hense']",
1557,1558,2019-06-27 12:59:56+00:00,first screening,,,,['Application[770301]'],['Jana Keane'],
1558,1559,2019-06-27 13:09:23+00:00,submit application,,,['Andre Wang'],['Application[770343]'],,
1559,1560,2019-06-27 13:10:28+00:00,check references,,,,['Application[770306]'],"['Ed Meister', 'Dionne Kershaw']",
1560,1561,2019-06-27 13:13:41+00:00,send rejection,,,['Pete Lemmens'],['Application[770234]'],['Dionne Hense'],
1561,1562,2019-06-27 13:14:32+00:00,check references,,,,['Application[770327]'],"['Simon Meister', 'Dionne Keane']",
1562,1563,2019-06-27 13:18:46+00:00,send rejection,,,['Stephan Brown'],['Application[770053]'],['Jana Hense'],
1563,1564,2019-06-27 13:21:00+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Jorge Weber'],['Application[770006]'],['Jana Kershaw'],
1564,1565,2019-06-27 13:26:13+00:00,send rejection,,,['Sonia Brown'],['Application[770010]'],['Ed Geisler'],
1565,1566,2019-06-27 13:32:38+00:00,assign vacancy,['Vacancy[550013] - Manager'],,,['Application[770165]'],,
1566,1567,2019-06-27 13:39:50+00:00,open vacancy,['Vacancy[550057] - Consultant'],['Ariel Bardin'],,,,
1567,1568,2019-06-27 13:44:39+00:00,invite for interview,['Vacancy[550008] - Consultant'],,['Jorge Pietersen'],['Application[770090]'],"['Dionne Geisler', 'Simon Keane']",
1568,1569,2019-06-27 13:50:32+00:00,assign vacancy,['Vacancy[550010] - Programmer'],,,['Application[770307]'],,
1569,1570,2019-06-27 13:53:43+00:00,submit application,['Vacancy[550023] - Consultant'],,['Stephan Brown'],['Application[770344]'],,
1570,1571,2019-06-27 13:55:57+00:00,check references,,,,['Application[770268]'],"['Jana Keane', 'Simon Meister']",
1571,1572,2019-06-27 13:57:23+00:00,check references,,,,['Application[770296]'],"['Simon Keane', 'Jana Geisler']",
1572,1573,2019-06-27 14:00:30+00:00,assign vacancy,['Vacancy[550012] - Programmer'],,,['Application[770200]'],,
1573,1574,2019-06-27 14:14:07+00:00,assign recruiter,,,,['Application[770340]'],"['Jana Keane', 'Simon Geisler', 'Dionne Meister']",
1574,1575,2019-06-27 14:25:17+00:00,check references,,,,['Application[770291]'],"['Simon Meister', 'Dionne Geisler']",
1575,1576,2019-06-27 14:25:56+00:00,send rejection,,,['Angela Schmidt'],['Application[770125]'],['Simon Kershaw'],
1576,1577,2019-06-27 14:38:52+00:00,assign recruiter,,,,['Application[770211]'],"['Dionne Hense', 'Dionne Meister', 'Ed Keane']",
1577,1578,2019-06-27 14:43:29+00:00,first screening,,,,['Application[770151]'],['Simon Hense'],
1578,1579,2019-06-27 14:50:47+00:00,assign recruiter,,,,['Application[770297]'],"['Ed Kershaw', 'Ed Keane', 'Dionne Kershaw']",
1579,1580,2019-06-27 14:52:27+00:00,assign recruiter,,,,['Application[770194]'],"['Ed Geisler', 'Dionne Meister', 'Jana Kershaw']",
1580,1581,2019-06-27 14:56:06+00:00,send rejection,,,['Johan Lopez'],['Application[770232]'],['Ed Meister'],
1581,1582,2019-06-27 15:00:29+00:00,send rejection,,,['Sonia Davis'],['Application[770186]'],['Jana Kershaw'],
1582,1583,2019-06-27 15:20:04+00:00,send rejection,,,['Jorge Weber'],['Application[770006]'],['Jana Kershaw'],
1583,1584,2019-06-27 15:26:05+00:00,assign vacancy,['Vacancy[550018] - Programmer'],,,['Application[770333]'],,
1584,1585,2019-06-27 15:30:06+00:00,assign vacancy,['Vacancy[550039] - Programmer'],,,['Application[770277]'],,
1585,1586,2019-06-27 15:31:46+00:00,submit application,,,['Vanessa Wagner'],['Application[770345]'],,
1586,1587,2019-06-27 15:46:35+00:00,send rejection,,,['Sue Taylor'],['Application[770074]'],['Jana Geisler'],
1587,1588,2019-06-27 15:54:29+00:00,first screening,,,,['Application[770072]'],['Jana Hense'],
1588,1589,2019-06-27 16:28:18+00:00,send rejection,,,['Andre Taylor'],['Application[770161]'],['Simon Geisler'],
1589,1590,2019-06-27 16:47:51+00:00,submit application,,,['Mary Schmidt'],['Application[770346]'],,
1590,1591,2019-06-27 17:39:48+00:00,send rejection,,,['Mary Park'],['Application[770091]'],['Simon Kershaw'],
1591,1592,2019-06-27 18:52:13+00:00,submit application,['Vacancy[550043] - Consultant'],,['Sue Pietersen'],['Application[770347]'],,
1592,1593,2019-06-27 20:46:36+00:00,close vacancy for new applications,['Vacancy[550014] - Manager'],,,,,
1593,1594,2019-06-27 20:46:36+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770109]'],['Simon Keane'],
1594,1595,2019-06-27 20:46:36+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770267]'],['Dionne Hense'],
1595,1596,2019-06-27 20:46:36+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770148]'],['Dionne Hense'],
1596,1597,2019-06-27 20:46:36+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770188]'],['Dionne Keane'],
1597,1598,2019-06-27 21:13:05+00:00,submit application,,,['Lisa Pietersen'],['Application[770348]'],,
1598,1599,2019-06-28 04:49:27+00:00,submit application,,,['Chun Neumann'],['Application[770349]'],,
1599,1600,2019-06-28 06:49:16+00:00,check references,,,,['Application[770314]'],"['Jana Meister', 'Jana Geisler']",
1600,1601,2019-06-28 06:50:00+00:00,first screening,,,,['Application[770290]'],['Ed Meister'],
1601,1602,2019-06-28 06:54:59+00:00,assign recruiter,,,,['Application[770324]'],"['Dionne Kershaw', 'Dionne Hense', 'Jana Geisler']",
1602,1603,2019-06-28 07:04:17+00:00,assign recruiter,,,,['Application[770344]'],"['Dionne Geisler', 'Ed Geisler', 'Ed Kershaw']",
1603,1604,2019-06-28 07:14:13+00:00,first screening,,,,['Application[770258]'],['Jana Kershaw'],
1604,1605,2019-06-28 07:14:27+00:00,assign vacancy,['Vacancy[550012] - Programmer'],,,['Application[770308]'],,
1605,1606,2019-06-28 07:18:46+00:00,first screening,,,,['Application[770344]'],['Dionne Geisler'],
1606,1607,2019-06-28 07:20:55+00:00,invite for interview,['Vacancy[550014] - Manager'],,['Vanessa Li'],['Application[770148]'],"['Ed Geisler', 'Ed Hense']",
1607,1608,2019-06-28 07:21:38+00:00,consult manager,,['Miguel Milano'],,['Application[770235]'],['Jana Keane'],
1608,1609,2019-06-28 07:23:17+00:00,conduct interview,['Vacancy[550014] - Manager'],['Vaishnavi Sashikanth'],['Vanessa Li'],['Application[770148]'],['Dionne Hense'],
1609,1610,2019-06-28 07:29:24+00:00,open vacancy,['Vacancy[550058] - Manager'],['Martin Klenk'],,,,
1610,1611,2019-06-28 07:33:19+00:00,conduct interview,['Vacancy[550008] - Consultant'],['Martin Klenk'],['Andre Zimmermann'],['Application[770127]'],['Dionne Keane'],
1611,1612,2019-06-28 07:56:43+00:00,submit application,,,['Andre Taylor'],['Application[770350]'],,
1612,1613,2019-06-28 08:03:37+00:00,assign vacancy,['Vacancy[550031] - Programmer'],,,['Application[770112]'],,
1613,1614,2019-06-28 08:17:34+00:00,assign recruiter,,,,['Application[770342]'],"['Ed Kershaw', 'Simon Keane', 'Dionne Keane']",
1614,1615,2019-06-28 08:19:58+00:00,offer accepted and hired,['Vacancy[550004] - Programmer'],,['Sue Johnson'],['Application[770058]'],['Jana Meister'],['Offer[[990001]]']
1615,1616,2019-06-28 08:22:38+00:00,first screening,,,,['Application[770292]'],['Dionne Meister'],
1616,1617,2019-06-28 08:24:07+00:00,check references,,,,['Application[770295]'],"['Simon Geisler', 'Jana Hense']",
1617,1618,2019-06-28 08:47:30+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Angela Lemmens'],['Application[770086]'],"['Jana Meister', 'Jana Hense']",
1618,1619,2019-06-28 08:51:42+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Detlef Wagner'],['Application[770166]'],"['Simon Meister', 'Simon Keane']",
1619,1620,2019-06-28 08:52:15+00:00,first screening,,,,['Application[770112]'],['Simon Geisler'],
1620,1621,2019-06-28 09:22:46+00:00,first screening,,,,['Application[770150]'],['Ed Meister'],
1621,1622,2019-06-28 09:25:44+00:00,first screening,,,,['Application[770297]'],['Ed Kershaw'],
1622,1623,2019-06-28 09:27:40+00:00,assign recruiter,,,,['Application[770331]'],"['Simon Hense', 'Jana Hense', 'Simon Keane']",
1623,1624,2019-06-28 09:37:46+00:00,submit application,,,['Pete Lemmens'],['Application[770351]'],,
1624,1625,2019-06-28 09:46:30+00:00,assign vacancy,['Vacancy[550004] - Programmer'],,,['Application[770211]'],,
1625,1626,2019-06-28 09:46:39+00:00,first screening,,,,['Application[770211]'],['Dionne Hense'],
1626,1627,2019-06-28 09:51:36+00:00,first screening,,,,['Application[770313]'],['Jana Keane'],
1627,1628,2019-06-28 09:57:14+00:00,first screening,,,,['Application[770324]'],['Dionne Kershaw'],
1628,1629,2019-06-28 10:07:46+00:00,first screening,,,,['Application[770340]'],['Jana Keane'],
1629,1630,2019-06-28 10:19:49+00:00,first screening,,,,['Application[770083]'],['Ed Keane'],
1630,1631,2019-06-28 10:38:53+00:00,consult manager,,['Miguel Milano'],,['Application[770129]'],['Dionne Kershaw'],
1631,1632,2019-06-28 10:59:51+00:00,submit application,['Vacancy[550038] - Manager'],,['Pete Jones'],['Application[770352]'],,
1632,1633,2019-06-28 11:08:23+00:00,check references,,,,['Application[770260]'],"['Simon Meister', 'Dionne Kershaw']",
1633,1634,2019-06-28 11:14:15+00:00,send rejection,,,['Andre Zimmermann'],['Application[770127]'],['Dionne Keane'],
1634,1635,2019-06-28 11:16:41+00:00,conduct interview,['Vacancy[550005] - Programmer'],['Martin Klenk'],['Angela Weber'],['Application[770068]'],['Simon Keane'],
1635,1636,2019-06-28 11:32:38+00:00,assign recruiter,,,,['Application[770176]'],"['Simon Kershaw', 'Jana Hense', 'Simon Meister']",
1636,1637,2019-06-28 11:59:37+00:00,assign recruiter,,,,['Application[770332]'],"['Simon Keane', 'Simon Geisler', 'Ed Geisler']",
1637,1638,2019-06-28 12:17:17+00:00,make job offer,['Vacancy[550014] - Manager'],['Vaishnavi Sashikanth'],['Vanessa Li'],['Application[770148]'],['Dionne Hense'],['Offer[[990005]]']
1638,1639,2019-06-28 12:35:56+00:00,send rejection,,,['Sonia Weber'],['Application[770210]'],['Simon Keane'],
1639,1640,2019-06-28 12:44:02+00:00,submit application,['Vacancy[550034] - Programmer'],,['Jorge Li'],['Application[770353]'],,
1640,1641,2019-06-28 12:54:51+00:00,close vacancy for new applications,['Vacancy[550015] - Consultant'],,,,,
1641,1642,2019-06-28 12:54:51+00:00,consult manager,,['Ariel Bardin'],,['Application[770092]'],['Dionne Keane'],
1642,1643,2019-06-28 12:54:51+00:00,consult manager,,['Ariel Bardin'],,['Application[770310]'],['Ed Meister'],
1643,1644,2019-06-28 12:54:51+00:00,consult manager,,['Ariel Bardin'],,['Application[770097]'],['Simon Meister'],
1644,1645,2019-06-28 12:54:51+00:00,consult manager,,['Ariel Bardin'],,['Application[770120]'],['Ed Keane'],
1645,1646,2019-06-28 12:57:40+00:00,check references,,,,['Application[770309]'],"['Ed Geisler', 'Dionne Meister']",
1646,1647,2019-06-28 13:00:34+00:00,assign vacancy,['Vacancy[550036] - Manager'],,,['Application[770194]'],,
1647,1648,2019-06-28 13:06:41+00:00,check references,,,,['Application[770141]'],"['Jana Meister', 'Jana Geisler']",
1648,1649,2019-06-28 13:24:42+00:00,check references,,,,['Application[770226]'],"['Ed Hense', 'Simon Hense']",
1649,1650,2019-06-28 13:26:17+00:00,assign vacancy,['Vacancy[550004] - Programmer'],,,['Application[770332]'],,
1650,1651,2019-06-28 13:27:03+00:00,assign recruiter,,,,['Application[770202]'],"['Jana Geisler', 'Simon Geisler', 'Dionne Geisler']",
1651,1652,2019-06-28 13:29:40+00:00,invite for interview,['Vacancy[550011] - Programmer'],,['Andre Park'],['Application[770235]'],"['Simon Meister', 'Ed Meister']",
1652,1653,2019-06-28 13:54:27+00:00,assign recruiter,,,,['Application[770303]'],"['Simon Hense', 'Ed Hense', 'Simon Geisler']",
1653,1654,2019-06-28 13:55:50+00:00,assign recruiter,,,,['Application[770251]'],"['Simon Geisler', 'Ed Kershaw', 'Jana Meister']",
1654,1655,2019-06-28 13:55:57+00:00,invite for interview,['Vacancy[550014] - Manager'],,['Chun Jones'],['Application[770188]'],"['Jana Keane', 'Simon Meister']",
1655,1656,2019-06-28 13:56:57+00:00,send rejection,,,['Lisa Neumann'],['Application[770192]'],['Simon Keane'],
1656,1657,2019-06-28 14:02:58+00:00,invite for interview,['Vacancy[550015] - Consultant'],,['Detlef Pietersen'],['Application[770120]'],"['Ed Hense', 'Jana Geisler']",
1657,1658,2019-06-28 14:07:26+00:00,conduct interview,['Vacancy[550006] - Programmer'],['Miguel Milano'],['Jorge Taylor'],['Application[770142]'],['Ed Geisler'],
1658,1659,2019-06-28 14:12:24+00:00,submit application,,,['Ray Smith'],['Application[770354]'],,
1659,1660,2019-06-28 14:14:19+00:00,send rejection,,,['Andre Weber'],['Application[770196]'],['Ed Geisler'],
1660,1661,2019-06-28 14:25:31+00:00,assign recruiter,,,,['Application[770319]'],"['Jana Geisler', 'Dionne Hense', 'Dionne Keane']",
1661,1662,2019-06-28 14:30:11+00:00,check references,,,,['Application[770264]'],"['Dionne Hense', 'Simon Kershaw']",
1662,1663,2019-06-28 14:37:45+00:00,open vacancy,['Vacancy[550059] - Consultant'],['Alexander Rinke'],,,,
1663,1664,2019-06-28 14:56:43+00:00,submit application,,,['Sue Taylor'],['Application[770355]'],,
1664,1665,2019-06-28 15:04:16+00:00,check references,,,,['Application[770167]'],"['Ed Meister', 'Simon Keane']",
1665,1666,2019-06-28 15:08:18+00:00,first screening,,,,['Application[770311]'],['Simon Geisler'],
